"city","year","month","time","long","lat","site","Wind Speed - Resultant","Outdoor Temperature","Barometric pressure","Ozone"
"Bakersfield",2011,8,140,-119.041209,35.356092,"Bakersfield-California",4.35618290322581,17.5268817419355,5.22311832258072,0.0446263225806452
"Bakersfield",2011,9,141,-119.041209,35.356092,"Bakersfield-California",6.36666666666667,18.7041666666667,6.34333340000001,0.0542755666666667
"Bakersfield",2011,10,142,-119.041209,35.356092,"Bakersfield-California",6.95124622580645,22.9546677096774,5.85624393548392,0.0445376129032258
"Bakersfield",2011,11,143,-119.041209,35.356092,"Bakersfield-California",10.5097221666667,23.5666667333333,10.8381944666667,0.0280930666666667
"Bakersfield",2011,12,144,-119.041209,35.356092,"Bakersfield-California",4.20161290322581,16.7338709354839,13.8807796129032,0.0333195806451613
"Bakersfield",2012,1,145,-119.041209,35.356092,"Bakersfield-California",11.8561827741935,23.2190860322581,9.08897851612903,0.0287688387096774
"Bakersfield",2012,2,146,-119.041209,35.356092,"Bakersfield-California",7.25000003448276,24.1163793103448,8.26522996551728,0.0284727931034483
"Bakersfield",2012,3,147,-119.041209,35.356092,"Bakersfield-California",11.9637096451613,20.8400537419355,11.0741935806451,0.0337310322580645
"Bakersfield",2012,4,148,-119.041209,35.356092,"Bakersfield-California",6.8094576,32.3781746666667,8.5773016666667,0.0476267
"Bakersfield",2012,5,149,-119.041209,35.356092,"Bakersfield-California",7.6626344516129,20.9731182580645,7.90510748387101,0.0374858064516129
"Bakersfield",2012,6,150,-119.041209,35.356092,"Bakersfield-California",9.51527776666667,28.4555556,8.19749999999999,0.0498875
"Bakersfield",2012,7,151,-119.041209,35.356092,"Bakersfield-California",7.87634406451613,21.2459677741935,5.30376341935482,0.0489167419354839
"Bakersfield",2012,8,152,-119.041209,35.356092,"Bakersfield-California",4.26209677419355,19.6263441612903,8.58682803225804,0.0451701612903226
"Bakersfield",2012,9,153,-119.041209,35.356092,"Bakersfield-California",5.52638893333333,20.8111111333333,5.66055553333331,0.0480819
"Bakersfield",2012,10,154,-119.041209,35.356092,"Bakersfield-California",5.49731187096774,30.5913978064516,9.94059138709679,0.060825
"Bakersfield",2012,11,155,-119.041209,35.356092,"Bakersfield-California",6.86805553333333,26.0819444333333,9.06069446666675,0.0451680666666667
"Bakersfield",2012,12,156,-119.041209,35.356092,"Bakersfield-California",6.48790329032258,21.2069893225806,9.08951612903229,0.0247823225806452
"Bakersfield",2013,1,157,-119.041209,35.356092,"Bakersfield-California",6.72043009677419,24.788978483871,9.91747309677419,0.0282823076923077
"Bakersfield",2013,2,158,-119.041209,35.356092,"Bakersfield-California",6.5089285,22.8660714642857,11.2351189642857,0.0310892857142857
"Bakersfield",2013,3,159,-119.041209,35.356092,"Bakersfield-California",6.07795703225806,22.2271505483871,11.5864247419355,0.0385484193548387
"Bakersfield",2013,4,160,-119.041209,35.356092,"Bakersfield-California",9.31964283333333,23.1365079666667,9.38646816666665,0.0426502
"Bakersfield",2013,5,161,-119.041209,35.356092,"Bakersfield-California",12.9206988709677,23.5026882258065,8.50577951612911,0.0399972903225806
